绸绸	chou,c
绸沓	chouta,ct
绸缎	chouduan,cd
绸固	chougu,cg
绸厚	chouhou,ch
绸绢	choujuan,cj
绸密	choumi,cm
绸绵	choumian,cm
绸缪	choumou,cm
绸缪桑土	choumiusangtu,cmst
绸缪束薪	choumoushuxin,cmsx
绸缪帷幄	choumouweiwo,cmww
绸缪帷帐	choumiuweizhang,cmwz
绸缪未雨	choumiuweiyu,cmwy
绸缪牖户	choumiuyouhu,cmyh
绸缪帐扆	choumiuzhangyi,cmzy
绸纹纸	chouwenzhi,cwz
绸舞	chouwu,cw
绸直	chouzhi,cz
绸子	chouzi,cz
