嬖爱	biai,ba
嬖褒	bibao,bb
嬖臣	bichen,bc
嬖宠	bichong,bc
嬖大夫	bidaifu,bdf
嬖惑	bihuo,bh
嬖姬	biji,bj
嬖近	bijin,bj
嬖媚	bimei,bm
嬖昵	bini,bn
嬖孽	binie,bn
嬖佞	bining,bn
嬖奴	binu,bn
嬖女	binu,bn
嬖妾	biqie,bq
嬖人	biren,br
嬖色	bise,bs
嬖竖	bishu,bs
嬖童	bitong,bt
嬖僮	bitong,bt
嬖习	bixi,bx
嬖幸	bixing,bx
嬖艳	biyan,by
嬖媵	biying,by
嬖御	biyu,by
嬖御人	biyuren,byr
嬖御士	biyushi,bys
嬖子	bizi,bz
