鳏处	guanchu,gc
鳏对	guandui,gd
鳏夫	guanfu,gf
鳏孤	guangu,gg
鳏寡	guangua,gg
鳏寡孤独	guanguagudu,gggd
鳏寡孤茕	guanguaguqiong,gggq
鳏寡孤惸	guanguagudi,gggd
鳏寡茕独	guanguaqiongdu,ggqd
鳏寡惸独	guanguagudu,gggd
鳏官	guan,g
鳏鳏	guan,g
鳏居	guanju,gj
鳏旷	guankuang,gk
鳏老	guanlao,gl
鳏嫠	guanli,gl
鳏民	guanmin,gm
鳏男	guannan,gn
鳏穷	guanqiong,gq
鳏惸	guanqiong,gq
鳏鱼	guanyu,gy
鳏鱼渴凤	guanyukefeng,gykf
