雉场	zhichang,zc
雉车	zhiche,zc
雉城	zhicheng,zc
雉鹑	zhichun,zc
雉窜	zhicuan,zc
雉堞	zhidie,zd
雉伏	zhifu,zf
雉伏鼠窜	zhifushucuan,zfsc
雉膏	zhigao,zg
雉雊	zhigou,zg
雉鸡	zhiji,zj
雉妓	zhiji,zj
雉涧	zhijian,zj
雉经	zhijing,zj
雉鸠	zhijiu,zj
雉腒	zhiju,zj
雉库	zhiku,zk
雉楼	zhilou,zl
雉卢	zhilu,zl
雉媒	zhimei,zm
雉门	zhimen,zm
雉门车	zhimenche,zmc
雉埤	zhipi,zp
雉翘	zhiqiao,zq
雉裘	zhiqiu,zq
雉乳	zhiru,zr
雉扇	zhishan,zs
雉省	zhisheng,zs
雉随	zhisui,zs
雉坛	zhitan,zt
雉头	zhitou,zt
雉头狐腋	zhitouhuye,zthy
雉头裘	zhitouqiu,ztq
雉兔	zhitu,zt
雉尾	zhiwei,zw
雉尾藏	zhiweicang,zwc
雉尾莼	zhiweichun,zwc
雉尾炬	zhiweiju,zwj
雉尾扇	zhiweishan,zws
雉姁	zhixu,zx
雉驯	zhixun,zx
雉噫	zhiyi,zy
雉宇	zhiyu,zy
雉羽	zhiyu,zy
雉贽	zhi,z
雉雉	zhi,z
雉子	zhizi,zz
