刍豆	chudou,cd
刍稾	chugao,cg
刍藳	chugao,cg
刍狗	chugou,cg
刍豢	chuhuan,ch
刍贱	chujian,cj
刍茭	chujiao,cj
刍厩	chujiu,cj
刍粮	chuliang,cl
刍灵	chuling,cl
刍论	chulun,cl
刍摩	chumo,cm
刍秣	chumo,cm
刍牧	chumu,cm
刍尼	chuni,cn
刍泥	chuni,cn
刍荛	churao,cr
刍荛之见	churaozhijian,crzj
刍荛之言	churaozhiyan,crzy
刍食	chushi,cs
刍叔	chushu,cs
刍菽	chushu,cs
刍说	chushuo,cs
刍粟	chusu,cs
刍微	chuwei,cw
刍薪	chuxin,cx
刍言	chuyan,cy
刍养	chuyang,cy
刍议	chuyi,cy
刍舆	chuyu,cy
