庐第	ludi,ld
庐垩	lue,le
庐儿	luer,le
庐阜	lufu,lf
庐观	luguan,lg
庐霍	luhuo,lh
庐江	lujiang,lj
庐江县	lujiangxian,ljx
庐徼	lujiao,lj
庐井	lujing,lj
庐九	lujiu,lj
庐居	luju,lj
庐剧	luju,lj
庐君	lujun,lj
庐陵	luling,ll
庐落	luluo,ll
庐墓	lumu,lm
庐寝	luqin,lq
庐山	lushan,ls
庐山公	lushangong,lsg
庐山会议	lushanhuiyi,lshy
庐山精	lushanjing,lsj
庐山面目	lushanmianmu,lsmm
庐山区	lushanqu,lsq
庐山真面	lushanzhenmian,lszm
庐山真面目	lushanzhenmianmu,lszmm
庐舍	lushe,ls
庐室	lushi,ls
庐屋	luwu,lw
庐伍	luwu,lw
庐庑	luwu,lw
庐阳	luyang,ly
庐阳区	luyangqu,lyq
庐茔	luying,ly
庐宇	luyu,ly
庐园	luyuan,ly
庐岳	luyue,ly
庐宅	luzhai,lz
庐帐	luzhang,lz
庐冢	luzhong,lz
