弁兵	bianbing,bb
弁辰	bianchen,bc
弁带	biandai,bd
弁绖	biandie,bd
弁丁	bianding,bd
弁端	bianduan,bd
弁服	bianfu,bf
弁韩	bianhan,bh
弁栗	bianli,bl
弁论	bianlun,bl
弁髦	bianmao,bm
弁冕	bianmian,bm
弁目	bianmu,bm
弁琼	bianqiong,bq
弁裳	bianchang,bc
弁首	bianshou,bs
弁田	biantian,bt
弁言	bianyan,by
弁勇	bianyong,by
弁语	bianyu,by
弁组	bianzu,bz
