炕暴	kangbao,kb
炕柴灶	kangchaizao,kcz
炕床	kangchuang,kc
炕单	kangdan,kd
炕洞	kangdong,kd
炕孵	kangfu,kf
炕柜	kanggui,kg
炕几	kangji,kj
炕屏	kangping,kp
炕琴	kangqin,kq
炕寝	kangqin,kq
炕梢	kangshao,ks
炕榻	kangta,kt
炕头	kangtou,kt
炕围子	kangweizi,kwz
炕席	kangxi,kx
炕沿	kangyan,ky
炕阳	kangyang,ky
炕枕	kangzhen,kz
炕桌	kangzhuo,kz
炕桌儿	kangzhuoer,kze
