菌柄	junbing,jb
菌陈蒿	junchenhao,jch
菌蠢	junchun,jc
菌肥	junfei,jf
菌盖	jungai,jg
菌阁	junge,jg
菌桂	jungui,jg
菌蟪	junhui,jh
菌胶团	junjiaotuan,jjt
菌界	junjie,jj
菌类	junlei,jl
菌圥	junlu,jl
菌落	junluo,jl
菌苗	junmiao,jm
菌人	junren,jr
菌伞	junsan,js
菌丝	junsi,js
菌托	juntuo,jt
菌褶	junzhe,jz
菌芝	junzhi,jz
菌种	junzhong,jz
菌子	junzi,jz
