髫辫	tiaobian,tb
髫龀	tiaochen,tc
髫齓	tiaochen,tc
髫齿	tiaochi,tc
髫初	tiaochu,tc
髫儿	tiaoer,te
髫发	tiaofa,tf
髫冠	tiaoguan,tg
髫丱	tiaoguan,tg
髫羁	tiaoji,tj
髫髻	tiaoji,tj
髫龄	tiaoling,tl
髫男	tiaonan,tn
髫年	tiaonian,tn
髫女	tiaonu,tn
髫孺	tiaoru,tr
髫时	tiaoshi,ts
髫岁	tiaosui,ts
髫童	tiaotong,tt
髫鬌	tiaoduo,td
髫小	tiaoxiao,tx
髫秀	tiaoxiu,tx
髫幼	tiaoyou,ty
髫稚	tiaozhi,tz
髫穉	tiaozhi,tz
