诟悖	goubei,gb
诟病	goubing,gb
诟耻	gouchi,gc
诟叱	gouchi,gc
诟斥	gouchi,gc
诟丑	gouchou,gc
诟讟	goudu,gd
诟龟呼天	gouguihutian,gght
诟毁	gouhui,gh
诟讥	gouji,gj
诟唧	gouji,gj
诟疾	gouji,gj
诟忌	gouji,gj
诟诘	goujie,gj
诟靳	goujin,gj
诟厉	gouli,gl
诟詈	gouli,gl
诟骂	gouma,gm
诟嫚	gouman,gm
诟怒	gounu,gn
诟诮	gouqiao,gq
诟让	gourang,gr
诟如不闻	gourubuwen,grbw
诟辱	gouru,gr
诟数	goushu,gs
诟谇	gousui,gs
诟侮	gouwu,gw
诟戏	gouxi,gx
诟笑	gouxiao,gx
诟噪	gouzao,gz
诟责	gouze,gz
诟訾	gouzi,gz
诟訿	gouzi,gz
诟租	gouzu,gz
诟诅	gouzu,gz
