心爱	xinai,xa
心安	xinan,xa
心安理得	xinanlide,xald
心安神闲	xinanshenxian,xasx
心版	xinban,xb
心瓣	xinban,xb
心谤腹非	xinbangfufei,xbff
心包	xinbao,xb
心包积气	xinbaojiqi,xbjq
心包积水	xinbaojishui,xbjs
心抱	xinbao,xb
心背	xinbei,xb
心本	xinben,xb
心坌	xinben,xb
心比天高	xinbitiangao,xbtg
心辩	xinbian,xb
心别	xinbie,xb
心冰	xinbing,xb
心兵	xinbing,xb
心病	xinbing,xb
心病还须心药医	xinbinghaixuyaoyi,xbhxyy
心波	xinbo,xb
心搏	xinbo,xb
心不烦	xinbufan,xbf
心不两用	xinbuliangyong,xbly
心不应口	xinbuyingkou,xbyk
心不由意	xinbuyouyi,xbyy
心不由主	xinbuyouzhu,xbyz
心不在焉	xinbuzaiyan,xbzy
心不在焉地	xinbuzaiyande,xbzyd
心材	xincai,xc
心裁	xincai,xc
心曹	xincao,xc
心嘈	xincao,xc
心肠	xinchang,xc
心潮	xinchao,xc
心潮澎湃	xinchaopengpai,xcpp
心潮起伏	xinchaoqifu,xcqf
心嗔	xinchen,xc
心尘	xinchen,xc
心成	xincheng,xc
心城	xincheng,xc
心程	xincheng,xc
心秤	xincheng,xc
心弛神往	xinchishenwang,xcsw
心驰神往	xinchishenwang,xcsw
心驰魏阙	xinchiweique,xcwq
心楚	xinchu,xc
心传	xinchuan,xc
心倕	xinchui,xc
心慈	xinci,xc
心慈面软	xincimianruan,xcmr
心慈手软	xincishouruan,xcsr
心粗	xincu,xc
心粗胆大	xincudanda,xcdd
心粗气浮	xincuqifu,xcqf
心存不满	xincunbuman,xcbm
心存怀疑	xincunhuaiyi,xchy
心存芥蒂	xincunjiedi,xcjd
心存目想	xincunmuxiang,xcmx
心存魏阙	xincunweique,xcwq
心存疑虑	xincunyilu,xcyl
心歹	xindai,xd
心胆	xindan,xd
心胆俱裂	xindanjulie,xdjl
心胆俱碎	xindanjusui,xdjs
心荡	xindang,xd
心荡神驰	xindangshenchi,xdsc
心荡神迷	xindangshenmi,xdsm
心荡神摇	xindangshenyao,xdsy
心荡神怡	xindangshenyi,xdsy
心荡神移	xindangshenyi,xdsy
心到神知	xindaoshenzhi,xdsz
心得	xinde,xd
心得安	xindean,xda
心德	xinde,xd
心地	xindi,xd
心地善良	xindishanliang,xdsl
心地正直	xindizhengzhi,xdzz
心灯	xindeng,xd
心低意沮	xindiyiju,xdyj
心底	xindi,xd
心电感应	xindianganying,xdgy
心电图	xindiantu,xdt
心定	xinding,xd
