稷祠	jici,jc
稷蜂社鼠	jifengsheshu,jfss
稷官	jiguan,jg
稷狐	jihu,jh
稷稷	ji,j
稷馈	jikui,jk
稷门	jimen,jm
稷庙	jimiao,jm
稷牛	jiniu,jn
稷契	jiqi,jq
稷丘	jiqiu,jq
稷穑	jise,js
稷山	jishan,js
稷山县	jishanxian,jsx
稷神	jishen,js
稷慎	jishen,js
稷牲	jisheng,js
稷食	jishi,js
稷事	jishi,js
稷黍	jishu,js
稷嗣	jisi,js
稷嗣君	jisijun,jsj
稷坛	jitan,jt
稷下	jixia,jx
稷下亭	jixiating,jxt
稷下先生	jixiaxiansheng,jxxs
稷下学士	jixiaxueshi,jxxs
稷禼	jixie,jx
稷禼翁	jixieweng,jxw
稷星	jixing,jx
稷雪	jixue,jx
稷泽	jize,jz
稷正	jizheng,jz
