髯鬓	ranbin,rb
髯参	rancan,rc
髯参军	rancanjun,rcj
髯鼎升遐	randingshengxia,rdsx
髯断	randuan,rd
髯夫	ranfu,rf
髯公	rangong,rg
髯胡	ranhu,rh
髯戟	ranji,rj
髯客	ranke,rk
髯口	rankou,rk
髯丽	ranli,rl
髯鬣	ranlie,rl
髯龙	ranlong,rl
髯奴	rannu,rn
髯髯	ran,r
髯茹	ranru,rr
髯虵	ranshe,rs
髯蛇	ranshe,rs
髯士	ranshi,rs
髯叟	ransou,rs
髯苏	ransu,rs
髯孙	ransun,rs
髯狎	ranxia,rx
髯须	ranxu,rx
髯须参军	ranxucanjun,rxcj
髯须主簿	ranxuzhubu,rxzb
髯阉	ranyan,ry
髯主簿	ranzhubu,rzb
