著白	zhubai,zb
著称	zhucheng,zc
著称于世	zhuchengyushi,zcys
著令	zhuoling,zl
著录	zhulu,zl
著名	zhuming,zm
著名地	zhumingde,zmd
著式	zhushi,zs
著书	zhushu,zs
著书立说	zhushulishuo,zsls
著述	zhushu,zs
著述等身	zhushudengshen,zsds
著文	zhuwen,zw
著雍	zheyong,zy
著于竹帛	zhuyubo,zyb
著者	zhuzhe,zz
著作	zhuzuo,zz
著作等身	zhuzuodengshen,zzds
著作郎	zhuzuolang,zzl
著作权	zhuzuoquan,zzq
著作权法	zhuzuoquanfa,zzqf
著作人	zhuzuoren,zzr
