沥肠	lichang,lc
沥陈	lichen,lc
沥陈鄙见	lichenbijian,lcbj
沥诚	licheng,lc
沥胆	lidan,ld
沥胆抽肠	lidanchouchang,ldcc
沥胆堕肝	lidanduogan,lddg
沥胆隳肝	lidanhuigan,ldhg
沥胆披肝	lidanpigan,ldpg
沥胆濯肝	lidanzhuogan,ldzg
沥滴	lidi,ld
沥耳	lier,le
沥干	ligan,lg
沥酒	lijiu,lj
沥恳	liken,lk
沥款	likuan,lk
沥涝	lilao,ll
沥沥	li,l
沥沥拉拉	lila,ll
沥沥淅淅	lixi,lx
沥溜	liliu,ll
沥泣	liqi,lq
沥青	liqing,lq
沥青铀矿	liqingyoukuang,lqyk
沥情	liqing,lq
沥觞	lishang,ls
沥述	lishu,ls
沥水	lishui,ls
沥水架	lishuijia,lsj
沥血	lixue,lx
沥血叩心	lixuekouxin,lxkx
沥血披肝	lixuepigan,lxpg
沥血披心	lixuepixin,lxpx
沥液	liye,ly
