逮案	daian,da
逮捕	daibu,db
逮捕证	daibuzheng,dbz
逮逮	dai,d
逮赴	daifu,df
逮革	daige,dg
逮及	daiji,dj
逮贱	daijian,dj
逮鞫	daiju,dj
逮考	daikao,dk
逮老鼠	dailaoshu,dls
逮累	dailei,dl
逮録	dailu,dl
逮亲	daiqin,dq
逮送	daisong,ds
逮特务	daitewu,dtw
逮通	daitong,dt
逮蚊子	daiwenzi,dwz
逮问	daiwen,dw
逮系	daixi,dx
逮下	daixia,dx
逮小偷	daixiaotou,dxt
逮行	daixing,dx
逮讯	daixun,dx
逮养	daiyang,dy
逮意	daiyi,dy
逮引	daiyin,dy
逮狱	daiyu,dy
逮至	daizhi,dz
逮治	daizhi,dz
逮坐	daizuo,dz
