概测法	gaicefa,gcf
概而不论	gaierbulun,gebl
概而言之	gaieryanzhi,geyz
概观	gaiguan,gg
概况	gaikuang,gk
概括	gaikuo,gk
概括地	gaikuode,gkd
概括地讲	gaikuodejiang,gkdj
概括地说	gaikuodeshuo,gkds
概括化	gaikuohua,gkh
概括性	gaikuoxing,gkx
概括性地	gaikuoxingde,gkxd
概览	gailan,gl
概率	gailu,gl
概率论	gailulun,gll
概略	gailue,gl
概略地	gailuede,gld
概略地叙述	gailuedexushu,gldxs
概论	gailun,gl
概貌	gaimao,gm
概莫能外	gaimonengwai,gmnw
概念	gainian,gn
概念地	gainiande,gnd
概念地图	gainianditu,gndt
概念化	gainianhua,gnh
概念驱动加工	gainianqudongjiagong,gnqdjg
概念验证	gainianyanzheng,gnyz
概念依存模型	gainianyicunmoxing,gnycmx
概日凌云	gairilingyun,grly
概述	gaishu,gs
概数	gaishu,gs
概说	gaishuo,gs
概算	gaisuan,gs
概形	gaixing,gx
概型	gaixing,gx
概型理论	gaixinglilun,gxll
概言之	gaiyanzhi,gyz
概要	gaiyao,gy
概要地	gaiyaode,gyd
