躬蹈	gongdao,gd
躬蹈矢石	gongdaoshi,gds
躬逢其盛	gongfengqisheng,gfqs
躬耕	gonggeng,gg
躬耕乐道	gonggengledao,ggld
躬圭	gonggui,gg
躬化	gonghua,gh
躬擐甲胄	gonghuanjiazhou,ghjz
躬己	gongji,gj
躬稼	gongjia,gj
躬览	gonglan,gl
躬敛	gonglian,gl
躬履	gonglu,gl
躬率	gonglu,gl
躬冒矢石	gongmaoshi,gms
躬亲	gongqin,gq
躬桑	gongsang,gs
躬身	gongshen,gs
躬身行礼	gongshenxingli,gsxl
躬体	gongti,gt
躬体力行	gongtilixing,gtlx
躬先士卒	gongxianshizu,gxsz
躬行	gongxing,gx
躬行节俭	gongxingjiejian,gxjj
躬行实践	gongxingshijian,gxsj
躬诣	gongyi,gy
躬自	gongzi,gz
躬自菲薄	gongzifeibo,gzfb
