抉奥阐幽	jueaochanyou,jacy
抉耳	jueer,je
抉发	juefa,jf
抉搞	juegao,jg
抉关	jueguan,jg
抉露	juelu,jl
抉门	juemen,jm
抉面	juemian,jm
抉眸	juemou,jm
抉目	juemu,jm
抉目东门	juemudongmen,jmdm
抉目吴门	juemuwumen,jmwm
抉目胥门	juemuxumen,jmxm
抉目悬门	juemuxuanmen,jmxm
抉破	juepo,jp
抉拾	jueshi,js
抉示	jueshi,js
抉搜	juesou,js
抉剔	jueti,jt
抉擿	jueti,jt
抉挑	juetiao,jt
抉微	juewei,jw
抉瑕掩瑜	juexiayanyu,jxyy
抉瑕摘衅	juexiazhaixin,jxzx
抉眼	jueyan,jy
抉择	jueze,jz
抉摘	juezhai,jz
抉眦	juezi,jz
