髦蔽	maobi,mb
髦髧	maodan,md
髦耋	maodie,md
髦儿班	maoerban,meb
髦儿戏	maoerxi,mex
髦儿戏子	maoerxizi,mexz
髦发	maofa,mf
髦皇	maohuang,mh
髦昏	maohun,mh
髦峤	maoqiao,mq
髦节	maojie,mj
髦杰	maojie,mj
髦隽	maojun,mj
髦俊	maojun,mj
髦儁	maojun,mj
髦马	maoma,mm
髦蛮	maoman,mm
髦民	maomin,mm
髦倪	maoni,mn
髦牛	maoniu,mn
髦期	maoqi,mq
髦士	maoshi,ms
髦硕	maoshuo,ms
髦髿	maosuo,ms
髦髫	maotiao,mt
髦头	maotou,mt
髦徒	maotu,mt
髦尾	maowei,mw
髦秀	maoxiu,mx
髦彦	maoyan,my
髦英	maoying,my
髦哲	maozhe,mz
髦稚	maozhi,mz
髦子	maozi,mz
