艺不压身	yibuyashen,ybys
艺道	yidao,yd
艺多不压身	yiduobuyashen,ydbys
艺高胆大	yigaodanda,ygdd
艺高人胆大	yigaorendanda,ygrdd
艺极	yiji,yj
艺伎	yiji,yj
艺妓	yiji,yj
艺界	yijie,yj
艺廊	yilang,yl
艺林	yilin,yl
艺龄	yiling,yl
艺名	yiming,ym
艺能	yineng,yn
艺能界	yinengjie,ynj
艺圃	yipu,yp
艺人	yiren,yr
艺士	yishi,ys
艺事	yishi,ys
艺术	yishu,ys
艺术地	yishude,ysd
艺术家	yishujia,ysj
艺术节	yishujie,ysj
艺术片	yishupian,ysp
艺术品	yishupin,ysp
艺术体操	yishuticao,ystc
艺术性	yishuxing,ysx
艺术学院	yishuxueyuan,ysxy
艺术造街	yishuzaojie,yszj
艺术照	yishuzhao,ysz
艺术哲学	yishuzhexue,yszx
艺坛	yitan,yt
艺徒	yitu,yt
艺文	yiwen,yw
艺文监	yiwenjian,ywj
艺文志	yiwenzhi,ywz
艺校	yixiao,yx
艺学	yixue,yx
艺业	yiye,yy
艺苑	yiyuan,yy
艺植	yizhi,yz
艺祖	yizu,yz
