某处	mouchu,mc
某地	moudi,md
某等	moudeng,md
某甫	moufu,mf
某个	mouge,mg
某家	moujia,mj
某甲	moujia,mj
某门	moumen,mm
某们	moumen,mm
某某	mou,m
某某人	mouren,mr
某屏	mouping,mp
某人	mouren,mr
某舍	moushe,ms
某时	moushi,ms
某士	moushi,ms
某事	moushi,ms
某物	mouwu,mw
某些	mouxie,mx
某乙	mouyi,my
某矣	mouyi,my
某者	mouzhe,mz
某种	mouzhong,mz
某子	mouzi,mz
