筒布	tongbu,tb
筒车	tongche,tc
筒灯	tongdeng,td
筒簟	tongdian,td
筒钓	tongdiao,td
筒阀	tongfa,tf
筒饭	tongfan,tf
筒鼓	tonggu,tg
筒管	tongguan,tg
筒桂	tonggui,tg
筒环	tonghuan,th
筒箭	tongjian,tj
筒裤	tongku,tk
筒轮	tonglun,tl
筒米	tongmi,tm
筒裙	tongqun,tq
筒洒	tongsa,ts
筒瓦	tongwa,tw
筒袖铠	tongxiukai,txk
筒炙	tongzhi,tz
筒中布	tongzhongbu,tzb
筒竹	tongzhu,tz
筒竹布	tongzhubu,tzb
筒子	tongzi,tz
筒子斤斗	tongzijindou,tzjd
筒子楼	tongzilou,tzl
筒子米糕	tongzimigao,tzmg
筒子皮	tongzipi,tzp
筒糉	tongzong,tz
