蛋氨酸	danansuan,das
蛋白	danbai,db
蛋白胨	danbaidong,dbd
蛋白光	danbaiguang,dbg
蛋白酶	danbaimei,dbm
蛋白尿	danbainiao,dbn
蛋白石	danbaishi,dbs
蛋白素	danbaisu,dbs
蛋白质	danbaizhi,dbz
蛋包	danbao,db
蛋包饭	danbaofan,dbf
蛋逼	danbi,db
蛋炒饭	danchaofan,dcf
蛋炒饭节	danchaofanjie,dcfj
蛋蛋	dan,d
蛋丁	danding,dd
蛋粉	danfen,df
蛋糕	dangao,dg
蛋糕裙	dangaoqun,dgq
蛋羹	dangeng,dg
蛋户	danhu,dh
蛋花	danhua,dh
蛋花汤	danhuatang,dht
蛋划	danhua,dh
蛋黄	danhuang,dh
蛋黄酱	danhuangjiang,dhj
蛋黄素	danhuangsu,dhs
蛋鸡	danji,dj
蛋家	danjia,dj
蛋家公	danjiagong,djg
蛋酒	danjiu,dj
蛋卷	danjuan,dj
蛋卷儿	danjuaner,dje
蛋壳	danke,dk
蛋民	danmin,dm
蛋奶酥	dannaisu,dns
蛋奶素	dannaisu,dns
蛋品	danpin,dp
蛋青	danqing,dq
蛋青色	danqingse,dqs
蛋清	danqing,dq
蛋丘	danqiu,dq
蛋人	danren,dr
蛋市	danshi,ds
蛋塔	danta,dt
蛋挞	danta,dt
蛋疼	danteng,dt
蛋鸭	danya,dy
蛋圆	danyuan,dy
蛋子	danzi,dz
