挣本	zhengben,zb
挣侧	zhengce,zc
挣痴	zhengchi,zc
挣持	zhengchi,zc
挣揣	zhengchuai,zc
挣摐	zhengchuang,zc
挣搓	zhengcuo,zc
挣挫	zhengcuo,zc
挣达	zhengda,zd
挣得	zhengde,zd
挣罗	zhengluo,zl
挣命	zhengming,zm
挣气	zhengqi,zq
挣钱	zhengqian,zq
挣勤	zhengqin,zq
挣四	zhengsi,zs
挣痛	zhengtong,zt
挣头科脑	zhengtoukenao,ztkn
挣脱	zhengtuo,zt
挣趱	zhengzan,zz
挣扎	zhengzha,zz
挣扎地	zhengzhade,zzd
挣挣	zheng,z
挣作	zhengzuo,zz
