抠哧	kouchi,kc
抠脚	koujiao,kj
抠抠搜搜	kousou,ks
抠抠缩缩	kousuo,ks
抠搂	koulou,kl
抠门儿	koumener,kme
抠请	kouqing,kq
抠趋	kouqu,kq
抠裳	kouchang,kc
抠搜	kousou,ks
抠索	kousuo,ks
抠图	koutu,kt
抠心挖肚	kouxinwadu,kxwd
抠心挖血	kouxinwaxue,kxwx
抠谒	kouye,ky
抠衣	kouyi,ky
抠迎	kouying,ky
抠着手掌	kouzheshouzhang,kzsz
抠字眼	kouziyan,kzy
抠字眼儿	kouziyaner,kzye
