疮疤	chuangba,cb
疮瘢	chuangban,cb
疮残	chuangcan,cc
疮疵	chuangci,cc
疮毒	chuangdu,cd
疮害	chuanghai,ch
疮好忘痛	chuanghaowangtong,chwt
疮痕	chuanghen,ch
疮疾	chuangji,cj
疮家	chuangjia,cj
疮痂	chuangjia,cj
疮疖	chuangjie,cj
疮疥之疾	chuangjiezhiji,cjzj
疮巨衅深	chuangjuxinshen,cjxs
疮科	chuangke,ck
疮口	chuangkou,ck
疮疠	chuangli,cl
疮痛	chuangtong,ct
疮痏	chuangwei,cw
疮疡	chuangyang,cy
疮痍	chuangyi,cy
疮痍满目	chuangyimanmu,cymm
疮痍弥目	chuangyimimu,cymm
疮疣	chuangyou,cy
疮疹	chuangzhen,cz
疮肿	chuangzhong,cz
疮帚	chuangzhou,cz
