曙斗	shudou,sd
曙风	shufeng,sf
曙更	shugeng,sg
曙鼓	shugu,sg
曙光	shuguang,sg
曙河	shuhe,sh
曙红朱雀	shuhongzhuque,shzq
曙后星孤	shuhouxinggu,shxg
曙华	shuhua,sh
曙晖	shuhui,sh
曙鸡	shuji,sj
曙角	shujiao,sj
曙暮辉	shumuhui,smh
曙然	shuran,sr
曙日	shuri,sr
曙色	shuse,ss
曙体	shuti,st
曙天	shutian,st
曙霞	shuxia,sx
曙星	shuxing,sx
曙烟	shuyan,sy
曙影	shuying,sy
曙月	shuyue,sy
曙钟	shuzhong,sz
