戢兵	jibing,jb
戢藏	jicang,jc
戢定	jiding,jd
戢伏	jifu,jf
戢服	jifu,jf
戢戈	jige,jg
戢和	jihe,jh
戢翮	jihe,jh
戢戢	ji,j
戢迹	ji,j
戢景	jijing,jj
戢军	jijun,jj
戢敛	jilian,jl
戢鳞	jilin,jl
戢鳞潜翼	jilinqianyi,jlqy
戢鳞委翼	jilinweiyi,jlwy
戢孴	jini,jn
戢宁	jining,jn
戢刃	jiren,jr
戢身	jishen,js
戢手	jishou,js
戢尾	jiwei,jw
戢畏	jiwei,jw
戢武	jiwu,jw
戢息	jixi,jx
戢心	jixin,jx
戢枻	jiyi,jy
戢翼	jiyi,jy
戢影	jiying,jy
戢羽	jiyu,jy
戢御	jiyu,jy
戢载	jizai,jz
戢臧	jizang,jz
戢制	jizhi,jz
戢智	jizhi,jz
