板芭	banba,bb
板板	ban,b
板板六十四	banliushisi,blss
板板正正	banzheng,bz
板榜	banbang,bb
板报	banbao,bb
板本	banben,bb
板本学	banbenxue,bbx
板壁	banbi,bb
板擦	banca,bc
板擦儿	bancaer,bce
板材	bancai,bc
板册	bance,bc
板插	bancha,bc
板车	banche,bc
板城渚口	banchengzhukou,bczk
板齿	banchi,bc
板疮	banchuang,bc
板床	banchuang,bc
板刺	banci,bc
板寸	bancun,bc
板锉	bancuo,bc
板搭	banda,bd
板带	bandai,bd
板荡	bandang,bd
板刀	bandao,bd
板刀面	bandaomian,bdm
板凳	bandeng,bd
板櫈	bandeng,bd
板堞	bandie,bd
板定	banding,bd
板对	bandui,bd
板楯蛮	bandunman,bdm
板儿	baner,be
板儿爷	banerye,bey
板房	banfang,bf
板扉	banfei,bf
板斧	banfu,bf
板腐	banfu,bf
板干	bangan,bg
板阁	bange,bg
板沟	bangou,bg
板鼓	bangu,bg
板官	banguan,bg
板规	bangui,bg
板庋	bangui,bg
板胡	banhu,bh
板户	banhu,bh
板笏	banhu,bh
板花	banhua,bh
板画	banhua,bh
板荒	banhuang,bh
板籍	banji,bj
板僵	banjiang,bj
板殭	banjiang,bj
板角	banjiao,bj
板结	banjie,bj
板巾	banjin,bj
板槛	bankan,bk
板块	bankuai,bk
板块构造	bankuaigouzao,bkgz
板块构造说	bankuaigouzaoshuo,bkgzs
板块理论	bankuaililun,bkll
板蓝	banlan,bl
板蓝根	banlangen,blg
板肋	banlei,bl
板厘	banli,bl
板栗	banli,bl
板脸	banlian,bl
板梁桥	banliangqiao,blq
板令	banling,bl
板楼	banlou,bl
板録	banlu,bl
板门	banmen,bm
板门店	banmendian,bmd
板门店停战村	banmendiantingzhancun,bmdtzc
板面	banmian,bm
板墨	banmo,bm
板棚	banpeng,bp
板皮	banpi,bp
板片	banpian,bp
板平	banping,bp
板铺	banpu,bp
板墙	banqiang,bq
板桥	banqiao,bq
板桥市	banqiaoshi,bqs
板球	banqiu,bq
板权	banquan,bq
板人	banren,br
板弱	banruo,br
板涩	banse,bs
板上钉钉	banshangding,bsd
板上砸钉	banshangzading,bszd
板升	bansheng,bs
板实	banshi,bs
板式	banshi,bs
板式塔	banshita,bst
板授	banshou,bs
板书	banshu,bs
板刷	banshua,bs
板税	banshui,bs
板闼	banta,bt
板榻	banta,bt
板蹋蹋	banta,bt
板梯	banti,bt
板题	banti,bt
板田	bantian,bt
板条	bantiao,bt
板条箱	bantiaoxiang,btx
板桐	bantong,bt
板头	bantou,bt
板瓦	banwa,bw
板位	banwei,bw
板屋	banwu,bw
板袭	banxi,bx
板箱	banxiang,bx
板心	banxin,bx
板行	banxing,bx
板学	banxue,bx
板鸭	banya,by
板牙	banya,by
板烟	banyan,by
板岩	banyan,by
板檐	banyan,by
板眼	banyan,by
板印	banyin,by
板油	banyou,by
板鱼	banyu,by
板舆	banyu,by
板羽球	banyuqiu,byq
板扎	banzha,bz
板闸	banzha,bz
板鄣	banzhang,bz
板仗	banzhang,bz
板帐	banzhang,bz
板帐钱	banzhangqian,bzq
板障	banzhang,bz
板正	banzheng,bz
板脂	banzhi,bz
板直	banzhi,bz
板职	banzhi,bz
板纸	banzhi,bz
板滞	banzhi,bz
板主	banzhu,bz
板渚	banzhu,bz
板渚隋堤	banzhusuidi,bzsd
板筑	banzhu,bz
板砖	banzhuan,bz
板桩	banzhuang,bz
板状	banzhuang,bz
板桌	banzhuo,bz
板子	banzi,bz
板卒	banzu,bz
