杀哀	shaai,sa
杀并	shabing,sb
杀才	shacai,sc
杀材	shacai,sc
杀草快	shacaokuai,sck
杀场	shachang,sc
杀虫	shachong,sc
杀虫剂	shachongji,scj
杀虫药	shachongyao,scy
杀出重围	shachuchongwei,sccw
杀地	shadi,sd
杀敌	shadi,sd
杀敌致果	shadizhiguo,sdzg
杀掉	shadiao,sd
杀定	shading,sd
杀毒	shadu,sd
杀毒软件	shaduruanjian,sdrj
杀蠹药	shaduyao,sdy
杀断	shaduan,sd
杀剁	shaduo,sd
杀伐	shafa,sf
杀风	shafeng,sf
杀风景	shafengjing,sfj
杀缝	shafeng,sf
杀富济贫	shafujipin,sfjp
杀缚	shafu,sf
杀害	shahai,sh
杀害障	shahaizhang,shz
杀合	shahe,sh
杀黑	shahei,sh
杀胡林	shahulin,shl
杀虎斩蛟	shahuzhanjiao,shzj
杀坏	shahuai,sh
杀回马枪	shahuimaqiang,shmq
杀活	shahuo,sh
杀获	shahuo,sh
杀机	shaji,sj
杀鸡扯脖	shajichebo,sjcb
杀鸡哧猴	shajichihou,sjch
杀鸡儿抹脖子	shajiermobozi,sjembz
杀鸡给猴看	shajigeihoukan,sjghk
杀鸡骇猴	shajihaihou,sjhh
杀鸡儆猴	shajijinghou,sjjh
杀鸡警猴	shajijinghou,sjjh
杀鸡抹脖	shajimobo,sjmb
杀鸡取蛋	shajiqudan,sjqd
杀鸡取卵	shajiquluan,sjql
杀鸡为黍	shajiweishu,sjws
杀鸡吓猴	shajixiahou,sjxh
杀鸡焉用牛刀	shajiyanyongniudao,sjyynd
杀鸡宰鹅	shajizaie,sjze
杀价	shajia,sj
杀节	shajie,sj
杀戒	shajie,sj
杀进	shajin,sj
杀进杀出	shajinchu,sjc
杀决	shajue,sj
杀绝	shajue,sj
杀君马者道旁儿	shajunmazhedaopanger,sjmzdpe
杀菌	shajun,sj
杀菌剂	shajunji,sjj
杀礼	shali,sl
杀力	shali,sl
杀厉	shali,sl
杀敛	shalian,sl
杀僇	shalu,sl
杀戮	shalu,sl
杀掠	shalue,sl
杀略	shalue,sl
杀螺剂	shaluoji,slj
杀马毁车	shamahuiche,smhc
杀马特	shamate,smt
杀灭	shamie,sm
杀内	shanei,sn
杀牛宰羊	shaniuzaiyang,snzy
杀胚	shapei,sp
杀坯	shapi,sp
杀妻求将	shaqiqiujiang,sqqj
杀气	shaqi,sq
杀气腾腾	shaqiteng,sqt
杀千刀	shaqiandao,sqd
杀青	shaqing,sq
杀球	shaqiu,sq
杀人	sharen,sr
杀人案	sharenan,sra
杀人案件	sharenanjian,sraj
杀人不过头点地	sharenbuguotoudiandi,srbgtdd
杀人不见血	sharenbujianxue,srbjx
杀人不眨眼	sharenbuzhayan,srbzy
杀人处钻出头来	sharenchuzuantoulai,srcztl
杀人地	sharende,srd
杀人犯	sharenfan,srf
杀人放火	sharenfanghuo,srfh
杀人鲸	sharenjing,srj
杀人狂	sharenkuang,srk
杀人灭口	sharenmiekou,srmk
杀人如草	sharenrucao,srrc
杀人如蒿	sharenruhao,srrh
杀人如麻	sharenruma,srrm
杀人如蓺	sharenrutie,srrt
杀人未遂	sharenweisui,srws
杀人盈野	sharenyingye,sryy
杀人越货	sharenyuehuo,sryh
杀软	sharuan,sr
杀杀	sha,s
杀伤	shashang,ss
杀伤半径	shashangbanjing,ssbj
杀伤力	shashangli,ssl
杀伤炸弹	shashangzhadan,sszd
杀身	shashen,ss
杀身报国	shashenbaoguo,ssbg
杀身成仁	shashenchengren,sscr
杀身成义	shashenchengyi,sscy
杀身之祸	shashenzhihuo,sszh
杀生	shasheng,ss
杀声	shasheng,ss
杀省	shasheng,ss
杀时间	shashijian,ssj
杀食	shashi,ss
杀矢	shashi,ss
杀收	shashou,ss
杀手	shashou,ss
杀手级应用	shashoujiyingyong,ssjyy
杀手锏	shashoujian,ssj
杀熟	shashu,ss
杀鼠药	shashuyao,ssy
杀死	shasi,ss
杀损	shasun,ss
杀头	shatou,st
杀威棒	shaweibang,swb
杀威棍	shaweigun,swg
杀殉	shaxun,sx
杀药	shayao,sy
杀业	shaye,sy
杀一儆百	shayijingbai,syjb
杀一警百	shayijingbai,syjb
杀一利百	shayilibai,sylb
杀一砺百	shayilibai,sylb
杀衣缩食	shayisuoshi,syss
杀禋	shayin,sy
杀婴	shaying,sy
杀越	shayue,sy
杀喳	shazha,sz
杀着	shazhe,sz
杀真菌	shazhenjun,szj
杀真菌剂	shazhenjunji,szjj
杀止	shazhi,sz
杀彘教子	shazhijiaozi,szjz
杀猪宰羊	shazhuzaiyang,szzy
杀字	shazi,sz
