赦除	shechu,sc
赦贷	shedai,sd
赦恩	sheen,se
赦放	shefang,sf
赦肺侯	shefeihou,sfh
赦格	shege,sg
赦孤	shegu,sg
赦过	sheguo,sg
赦过宥罪	sheguoyouzui,sgyz
赦令	sheling,sl
赦免	shemian,sm
赦命	sheming,sm
赦事诛意	sheshizhuyi,sszy
赦贳	sheshi,ss
赦释	sheshi,ss
赦书	sheshu,ss
赦赎	sheshu,ss
赦恕	sheshu,ss
赦图	shetu,st
赦宥	sheyou,sy
赦原	sheyuan,sy
赦罪	shezui,sz
