僮部	tongbu,tb
僮儿	tonger,te
僮夫	tongfu,tf
僮妇	tongfu,tf
僮干	tonggan,tg
僮昏	tonghun,th
僮锦	tongjin,tj
僮客	tongke,tk
僮隶	tongli,tl
僮蒙	tongmeng,tm
僮牧	tongmu,tm
僮男	tongnan,tn
僮奴	tongnu,tn
僮女	tongnu,tn
僮仆	tongpu,tp
僮然	tongran,tr
僮史	tongshi,ts
僮使	tongshi,ts
僮竖	tongshu,ts
僮讼	tongsong,ts
僮僮	tong,t
僮娃	tongwa,tw
僮谣	tongyao,ty
僮謡	tongyao,ty
僮役	tongyi,ty
僮御	tongyu,ty
僮约	tongyue,ty
僮指	tongzhi,tz
僮子	tongzi,tz
僮族	zhuangzu,zz
