炽昌	chichang,cc
炽爨	chicuan,cc
炽发	chifa,cf
炽富	chifu,cf
炽火	chihuo,ch
炽结	chijie,cj
炽燎	chiliao,cl
炽烈	chilie,cl
炽茂	chimao,cm
炽猛	chimeng,cm
炽酿	chiniang,cn
炽曝	chipu,cp
炽强	chiqiang,cq
炽情	chiqing,cq
炽然	chiran,cr
炽燃地	chirande,crd
炽热	chire,cr
炽热火山云	chirehuoshanyun,crhsy
炽煽	chishan,cs
炽盛	chisheng,cs
炽暑	chishu,cs
炽肆	chisi,cs
炽腾	chiteng,ct
炽炎	chiyan,cy
炽焰	chiyan,cy
炽张	chizhang,cz
炽殖	chizhi,cz
炽灼	chizhuo,cz
