砍大山	kandashan,kds
砍刀	kandao,kd
砍断	kanduan,kd
砍伐	kanfa,kf
砍价	kanjia,kj
砍砢	kanluo,kl
砍脍	kankuai,kk
砍脑鬼	kannaogui,kng
砍杀	kansha,ks
砍伤	kanshang,ks
砍树	kanshu,ks
砍死	kansi,ks
砍头	kantou,kt
砍头不过风吹帽	kantoubuguofengchuimao,ktbgfcm
砍土镘	kantuman,ktm
砍削	kanxue,kx
砍一枝损百枝	kanyizhisunbai,kyzsb
砍一枝损百株	kanyizhisunbaizhu,kyzsbz
砍营	kanying,ky
砍砸器	kanzaqi,kzq
