浆包	jiangbao,jb
浆饭	jiangfan,jf
浆粉	jiangfen,jf
浆果	jiangguo,jg
浆壶	jianghu,jh
浆糊	jianghu,jh
浆家	jiangjia,jj
浆酒霍肉	jiangjiuhuorou,jjhr
浆酒藿肉	jiangjiuhuorou,jjhr
浆米酒	jiangmijiu,jmj
浆膜	jiangmo,jm
浆糗	jiangqiu,jq
浆人	jiangren,jr
浆水	jiangshui,js
浆水不交	jiangshuibujiao,jsbj
浆水石	jiangshuishi,jss
浆胎	jiangtai,jt
浆洗	jiangxi,jx
浆荇	jiangxing,jx
浆液	jiangye,jy
浆硬	jiangying,jy
浆汁	jiangzhi,jz
浆纸	jiangzhi,jz
浆粥	jiangzhou,jz
浆子	jiangzi,jz
