伎船	jichuan,jc
伎道	jidao,jd
伎儿	jier,je
伎坊	jifang,jf
伎工	jigong,jg
伎荷	jihe,jh
伎伎	ji,j
伎家	jijia,jj
伎苛	jike,jk
伎乐	jile,jl
伎力	jili,jl
伎俩	jiliang,jl
伎能	jineng,jn
伎女	jinu,jn
伎巧	jiqiao,jq
伎曲	jiqu,jq
伎人	jiren,jr
伎术	jishu,js
伎术官	jishuguan,jsg
伎术人	jishuren,jsr
伎数	jishu,js
伎痒	jiyang,jy
伎懩	jiyang,jy
伎艺	jiyi,jy
伎作	jizuo,jz
