笞榜	chibang,cb
笞搒	chipeng,cp
笞背	chibei,cb
笞鞭	chibian,cb
笞叱	chi,c
笞捶	chichui,cc
笞棰	chichui,cc
笞斗	chidou,cd
笞督	chidu,cd
笞罚	chifa,cf
笞法	chifa,cf
笞凤鞭鸾	chifengbianluan,cfbl
笞服	chifu,cf
笞妇翁	chifuweng,cfw
笞诟	chigou,cg
笞击	chiji,cj
笞靳	chijin,cj
笞决	chijue,cj
笞髡	chikun,ck
笞戮	chilu,cl
笞掠	chilue,cl
笞骂	chima,cm
笞扑	chipu,cp
笞谴	chiqian,cq
笞辱	chiru,cr
笞杀	chisha,cs
笞挞	chita,ct
笞臀	chitun,ct
笞刑	chixing,cx
笞责	chize,cz
笞杖	chizhang,cz
笞罪	chizui,cz
