账本	zhangben,zb
账簿	zhangbu,zb
账册	zhangce,zc
账单	zhangdan,zd
账底	zhangdi,zd
账房	zhangfang,zf
账房间	zhangfangjian,zfj
账房先生	zhangfangxiansheng,zfxs
账号	zhanghao,zh
账户	zhanghu,zh
账款	zhangkuan,zk
账理	zhangli,zl
账历	zhangli,zl
账面	zhangmian,zm
账目	zhangmu,zm
账篇	zhangpian,zp
账头	zhangtou,zt
账务	zhangwu,zw
账载	zhangzai,zz
账主子	zhangzhuzi,zzz
账桌	zhangzhuo,zz
