扃闭	jiongbi,jb
扃扉	jiongfei,jf
扃锢	jionggu,jg
扃关	jiongguan,jg
扃户	jionghu,jh
扃键	jiongjian,jj
扃禁	jiongjin,jj
扃扃	jiong,j
扃局	jiongju,jj
扃绢	jiongjuan,jj
扃鐍	jiongjue,jj
扃幂	jiongmi,jm
扃鼏	jiongmi,jm
扃试	jiongshi,js
扃室	jiongshi,js
扃锁	jiongsuo,js
扃鏁	jiongsuo,js
扃堂	jiongtang,jt
扃涂	jiongtu,jt
扃钥	jiongyue,jy
扃牖	jiongyou,jy
