勃勃	bo,b
勃发	bofa,bf
勃艮第	bogendi,bgd
勃姑	bogu,bg
勃固	bogu,bg
勃固河	boguhe,bgh
勃固山脉	bogushanmai,bgsm
勃海	bohai,bh
勃荷	bohe,bh
勃解	bojie,bj
勃拉姆斯	bolamusi,blms
勃兰登堡	bolandengbao,bldb
勃朗峰	bolangfeng,blf
勃朗宁	bolangning,bln
勃厉	boli,bl
勃利	boli,bl
勃利县	bolixian,blx
勃列日涅夫	bolieriniefu,blrnf
勃卢	bolu,bl
勃乱	boluan,bl
勃缪	bomiu,bm
勃逆	boni,bn
勃起	boqi,bq
勃起功能障碍	boqigongnengzhangai,bqgnza
勃然	boran,br
勃然变色	boranbianse,brbs
勃然大怒	borandanu,brdn
勃然奋励	boranfenli,brfl
勃壤	borang,br
勃窣	bosu,bs
勃腾腾	boteng,bt
勃驮	botuo,bt
勃溪	boxi,bx
勃豀	boxi,bx
勃屑	boxie,bx
勃澥	boxie,bx
勃兴	boxing,bx
勃郁	boyu,by
勃欝	boyu,by
勃崒	bozu,bz
