署拜	shubai,sb
署榜	shubang,sb
署额	shue,se
署方	shufang,sf
署府	shufu,sf
署记	shuji,sj
署假名	shujiaming,sjm
署笺	shujian,sj
署牋	shujian,sj
署劵	shujuan,sj
署理	shuli,sl
署名	shuming,sm
署缺	shuque,sq
署任	shuren,sr
署摄	shushe,ss
署事	shushi,ss
署尾	shuwei,sw
署衔	shuxian,sx
署押	shuya,sy
署议	shuyi,sy
署印	shuyin,sy
署用	shuyong,sy
署预	shuyu,sy
署职	shuzhi,sz
署纸尾	shuzhiwei,szw
署置	shuzhi,sz
署篆	shuzhuan,sz
署字	shuzi,sz
