壤陛	rangbi,rb
壤策	rangce,rc
壤虫	rangchong,rc
壤地	rangdi,rd
壤埊	rangdi,rd
壤奠	rangdian,rd
壤坟	rangfen,rf
壤父	rangfu,rf
壤歌	rangge,rg
壤隔	rangge,rg
壤芥	rangjie,rj
壤界	rangjie,rj
壤流	rangliu,rl
壤脉	rangmai,rm
壤末	rangmo,rm
壤壤	rang,r
壤室	rangshi,rs
壤树	rangshu,rs
壤驷	rangsi,rs
壤塘	rangtang,rt
壤塘县	rangtangxian,rtx
壤童	rangtong,rt
壤土	rangtu,rt
壤翁	rangweng,rw
壤子	rangzi,rz
