弃暗投明	qiantouming,qatm
弃薄	qibao,qb
弃保潜逃	qibaoqiantao,qbqt
弃背	qibei,qb
弃背天下	qibeitianxia,qbtx
弃本	qiben,qb
弃本求末	qibenqiumo,qbqm
弃本逐末	qibenzhumo,qbzm
弃笔	qibi,qb
弃笔从戎	qibicongrong,qbcr
弃别	qibie,qb
弃播	qibo,qb
弃才	qicai,qc
弃材	qicai,qc
弃财	qicai,qc
弃餐	qican,qc
弃常	qichang,qc
弃朝	qichao,qc
弃车走林	qichezoulin,qczl
弃斥	qichi,qc
弃除	qichu,qc
弃础	qichu,qc
弃船	qichuan,qc
弃代	qidai,qd
弃道任术	qidaorenshu,qdrs
弃地	qidi,qd
弃短就长	qiduanjiuchang,qdjc
弃短用长	qiduanyongchang,qdyc
弃恶	qie,qe
弃恶从善	qiecongshan,qecs
弃儿	qier,qe
弃法	qifa,qf
弃废	qifei,qf
弃夫	qifu,qf
弃妇	qifu,qf
弃割	qige,qg
弃公营私	qigongyingsi,qgys
弃觚	qigu,qg
弃故揽新	qigulanxin,qglx
弃官	qiguan,qg
弃国	qiguo,qg
弃过图新	qiguotuxin,qgtx
弃孩	qihai,qh
弃骸	qihai,qh
弃好背盟	qihaobeimeng,qhbm
弃核	qihe,qh
弃忽	qihu,qh
弃灰	qihui,qh
弃毁	qihui,qh
弃秽	qihui,qh
弃货	qihuo,qh
弃疾	qiji,qj
弃家荡产	qijiadangchan,qjdc
弃甲	qijia,qj
弃甲倒戈	qijiadaoge,qjdg
弃甲丢盔	qijiadiukui,qjdk
弃甲负弩	qijiafunu,qjfn
弃甲投戈	qijiatouge,qjtg
弃甲曳兵	qijiayebing,qjyb
弃甲于思	qijiayusai,qjys
弃剑	qijian,qj
弃井	qijing,qj
弃旧	qijiu,qj
弃旧怜新	qijiulianxin,qjlx
弃旧图新	qijiutuxin,qjtx
弃旧迎新	qijiuyingxin,qjyx
弃咎	qijiu,qj
弃剧	qiju,qj
弃捐	qijuan,qj
弃卷	qijuan,qj
弃绝	qijue,qj
弃溃	qikui,qk
弃垒	qilei,ql
弃礼	qili,ql
弃力	qili,ql
弃禄	qilu,ql
弃戮	qilu,ql
弃蔑	qimie,qm
弃民	qimin,qm
弃明投暗	qimingtouan,qmta
弃命	qiming,qm
弃末反本	qimofanben,qmfb
弃末返本	qimofanben,qmfb
弃能	qineng,qn
弃逆归顺	qiniguishun,qngs
弃农经商	qinongjingshang,qnjs
弃瓢	qipiao,qp
弃瓢叟	qipiaosou,qps
弃瓢翁	qipiaoweng,qpw
弃瓢岩	qipiaoyan,qpy
弃撇	qipie,qp
弃平居	qipingju,qpj
弃妻	qi,q
弃其余鱼	qiyu,qy
弃其馀鱼	qiyu,qy
弃遣	qiqian,qq
弃妾	qiqie,qq
弃亲	qiqin,qq
弃情遗世	qiqingyishi,qqys
弃琼拾砾	qiqiongshili,qqsl
弃躯	qiqu,qq
弃取	qiqu,qq
弃权	qiquan,qq
弃群臣	qiqunchen,qqc
弃壤	qirang,qr
弃人	qiren,qr
弃日	qiri,qr
弃如敝屣	qirubixi,qrbx
弃辱	qiru,qr
弃若敝屣	qiruobixi,qrbx
弃靸	qisa,qs
弃舍	qishe,qs
弃身	qishen,qs
弃生	qisheng,qs
弃尸	qishi,qs
弃失	qishi,qs
弃士	qishi,qs
弃世	qishi,qs
弃市	qishi,qs
弃事	qishi,qs
弃逝	qishi,qs
弃守	qishou,qs
弃书捐剑	qishujuanjian,qsjj
弃死	qisi,qs
弃俗	qisu,qs
弃损	qisun,qs
弃堂帐	qitangzhang,qtz
弃天	qitian,qt
弃天下	qitianxia,qtx
弃同即异	qitongjiyi,qtjy
弃投	qitou,qt
弃唾	qituo,qt
弃外	qiwai,qw
弃忘	qiwang,qw
弃伪从真	qiweicongzhen,qwcz
弃文	qiwen,qw
弃文存质	qiwencunzhi,qwcz
弃文就武	qiwenjiuwu,qwjw
弃卧	qiwo,qw
弃物	qiwu,qw
弃席	qixi,qx
弃屣	qixi,qx
弃瑕	qixia,qx
弃瑕录用	qixialuyong,qxly
弃瑕録用	qixialuyong,qxly
弃瑕取用	qixiaquyong,qxqy
弃瑕忘过	qixiawangguo,qxwg
弃嫌	qixian,qx
弃邪	qixie,qx
弃邪从正	qixiecongzheng,qxcz
弃邪归正	qixieguizheng,qxgz
弃信	qixin,qx
弃行改业	qixinggaiye,qxgy
弃繻	qixu,qx
弃繻关	qixuguan,qxg
弃繻郎	qixulang,qxl
弃繻年	qixunian,qxn
弃繻生	qixusheng,qxs
弃繻者	qixuzhe,qxz
弃学	qixue,qx
弃言	qiyan,qy
弃厌	qiyan,qy
弃养	qiyang,qy
弃业	qiye,qy
弃业变产	qiyebianchan,qybc
弃移	qiyi,qy
弃遗	qiyi,qy
弃疑	qiyi,qy
弃义倍信	qiyibeixin,qybx
弃易求难	qiyiqiunan,qyqn
弃婴	qiying,qy
弃樱	qiying,qy
弃用	qiyong,qy
弃余	qiyu,qy
弃予	qiyu,qy
弃远	qiyuan,qy
弃约	qiyue,qy
弃约背盟	qiyuebeimeng,qybm
弃择	qize,qz
弃责	qizhai,qz
弃杖草	qizhangcao,qzc
弃之敝屣	qizhibixi,qzbx
弃之度外	qizhiduwai,qzdw
弃之可惜	qizhikexi,qzkx
弃之如敝屐	qizhirubiji,qzrbj
弃之如敝屣	qizhirubixi,qzrbx
弃知	qizhi,qz
弃职	qizhi,qz
弃掷	qizhi,qz
弃智	qizhi,qz
弃智遗身	qizhiyishen,qzys
弃置	qizhi,qz
弃逐	qizhu,qz
弃坠	qizhui,qz
弃子	qizi,qz
