播报	bobao,bb
播报员	bobaoyuan,bby
播出	bochu,bc
播发	bofa,bf
播放	bofang,bf
播放机	bofangji,bfj
播放列表	bofangliebiao,bflb
播讲	bojiang,bj
播穅眯目	bokangmimu,bkmm
播糠眯目	bokangmimu,bkmm
播客	boke,bk
播弄	bonong,bn
播弄是非	bonongshifei,bnsf
播撒	bosa,bs
播散	bosan,bs
播送	bosong,bs
播土扬尘	botuyangchen,btyc
播扬	boyang,by
播音	boyin,by
播音室	boyinshi,bys
播音员	boyinyuan,byy
播映	boying,by
播种	bozhong,bz
播种机	bozhongji,bzj
