摘报	zhaibao,zb
摘编	zhaibian,zb
摘抄	zhaichao,zc
摘除	zhaichu,zc
摘胆剜心	zhaidanwanxin,zdwx
摘登	zhaideng,zd
摘发	zhaifa,zf
摘瓜抱蔓	zhaiguabaoman,zgbm
摘记	zhaiji,zj
摘借	zhaijie,zj
摘句寻章	zhaijuxunzhang,zjxz
摘录	zhailu,zl
摘帽	zhaimao,zm
摘帽子	zhaimaozi,zmz
摘牌	zhaipai,zp
摘取	zhaiqu,zq
摘桃子	zhaitaozi,ztz
摘瑕指瑜	tixiazhiyu,txzy
摘下	zhaixia,zx
摘艳熏香	zhaiyanxunxiang,zyxx
摘艳薰香	zhaiyanxunxiang,zyxx
摘要	zhaiyao,zy
摘要地	zhaiyaode,zyd
摘译	zhaiyi,zy
摘引	zhaiyin,zy
摘由	zhaiyou,zy
摘埴索涂	zhaizhisuotu,zzst
