涎不痴	xianbuchi,xbc
涎不答	xianbuda,xbd
涎缠	xianchan,xc
涎邓邓	xiandeng,xd
涎瞪	xiandeng,xd
涎瞪瞪	xiandeng,xd
涎滴	xiandi,xd
涎滑	xianhua,xh
涎濊	xianwei,xw
涎利	xianli,xl
涎脸	xianlian,xl
涎脸涎皮	xianlianpi,xlp
涎脸饧眼	xianliantangyan,xlty
涎缕	xianlu,xl
涎漫	xianman,xm
涎眉邓眼	xianmeidengyan,xmdy
涎沫	xianmo,xm
涎睨	xianni,xn
涎皮赖脸	xianpilailian,xpll
涎皮涎脸	xianpilian,xpl
涎水	xianshui,xs
涎吐	xiantu,xt
涎唾	xiantuo,xt
涎涎邓邓	xiandeng,xd
涎涎瞪瞪	xiandeng,xd
涎言涎语	xianyanyu,xyy
涎玉沫珠	xianyumozhu,xymz
涎着脸	xianzhelian,xzl
