比埃兹巴伯	biaizibabo,bazbb
比安	bian,ba
比迸	bibeng,bb
比比	bi,b
比比皆然	bijieran,bjr
比比皆是	bijieshi,bjs
比并	bibing,bb
比捕	bibu,bb
比不了	bibuliao,bbl
比不上	bibushang,bbs
比部	bibu,bb
比才	bicai,bc
比辰	bichen,bc
比冲	bichong,bc
比俦	bichou,bc
比雠	bichou,bc
比次	bici,bc
比佽	bici,bc
比党	bidang,bd
比得上	bideshang,bds
比德	bide,bd
比登天还难	bidengtianhainan,bdthn
比度	bidu,bd
比对	bidui,bd
比儿	bier,be
比尔	bier,be
比尔博	bierbo,beb
比法	bifa,bf
比灋	bifa,bf
比方	bifang,bf
比方说	bifangshuo,bfs
比仿	bifang,bf
比分	bifen,bf
比讽	bifeng,bf
比佛利山	bifolishan,bfls
比服	bifu,bf
比附	bifu,bf
比坿	bifu,bf
比傅	bifu,bf
比杆赛	bigansai,bgs
比干	bigan,bg
比各	bige,bg
比哈尔邦	bihaerbang,bheb
比葫芦画瓢	bihuluhuapiao,bhlhp
比户	bihu,bh
比户可封	bihukefeng,bhkf
比划	bihua,bh
比画	bihua,bh
比基尼	bijini,bjn
比基尼岛	bijinidao,bjnd
比及	biji,bj
比集	biji,bj
比辑	biji,bj
比际	biji,bj
比迹	biji,bj
比甲	bijia,bj
比假	bijia,bj
比价	bijia,bj
比坚尼	bijianni,bjn
比肩	bijian,bj
比肩并起	bijianbingqi,bjbq
比肩迭迹	bijiandieji,bjdj
比肩迭踵	bijiandiezhong,bjdz
比肩叠迹	bijiandieji,bjdj
比肩叠踵	bijiandiezhong,bjdz
比肩而立	bijianerli,bjel
比肩褂	bijiangua,bjg
比肩继踵	bijianjizhong,bjjz
比肩皆是	bijianjieshi,bjjs
比肩接迹	bijianjieji,bjjj
比肩接踵	bijianjiezhong,bjjz
比肩连袂	bijianlianmei,bjlm
比肩民	bijianmin,bjm
比肩齐声	bijianqisheng,bjqs
比肩人	bijianren,bjr
比肩兽	bijianshou,bjs
比肩随踵	bijiansuizhong,bjsz
比肩系踵	bijianxizhong,bjxz
比谏	bijian,bj
比较	bijiao,bj
比较成本说	bijiaochengbenshuo,bjcbs
比较地	bijiaode,bjd
比较而言	bijiaoeryan,bjey
比较分析	bijiaofenxi,bjfx
比较好地	bijiaohaode,bjhd
比较坏地	bijiaohuaide,bjhd
比较级	bijiaoji,bjj
比较价格	bijiaojiage,bjjg
比较教育	bijiaoyu,bjy
比较文化	bijiaowenhua,bjwh
比较文学	bijiaowenxue,bjwx
比较语言学	bijiaoyuyanxue,bjyyx
比近	bijin,bj
比居	biju,bj
比句	biju,bj
比勘	bikan,bk
比伉	bikang,bk
比况	bikuang,bk
比来	bilai,bl
比烂	bilan,bl
比勒费尔德	bilefeierde,blfed
比勒陀利亚	biletuoliya,bltly
比类	bilei,bl
比类从事	bileicongshi,blcs
比类合义	bileiheyi,blhy
比类合谊	bileiheyi,blhy
比里	bili,bl
比利	bili,bl
比利牛斯	biliniusi,blns
比利牛斯山	biliniusishan,blnss
比利时	bilishi,bls
比例	bili,bl
比例尺	bilichi,blc
比例失调	bilishitiao,blst
比例税	bilishui,bls
比例税制	bilishuizhi,blsz
比例因子	biliyinzi,blyz
比量	biliang,bl
比量齐观	biliangqiguan,blqg
比邻	bilin,bl
比邻星	bilinxing,blx
比笼	bilong,bl
比隆	bilong,bl
比闾	bilu,bl
比率	bilu,bl
比伦	bilun,bl
比轮	bilun,bl
比落	biluo,bl
比卯	bimao,bm
比美	bimei,bm
比侔	bimou,bm
比目	bimu,bm
比目连枝	bimulianzhi,bmlz
比目鱼	bimuyu,bmy
比纳	bina,bn
比拟	bini,bn
比儗	bini,bn
比昵	bini,bn
比年	binian,bn
比年不登	binianbudeng,bnbd
比偶	biou,bo
比耦	biou,bo
比盘	bipan,bp
比拚	bipan,bp
比配	bipei,bp
比譬	bipi,bp
比拼	bipin,bp
比期	biqi,bq
比起	biqi,bq
比丘	biqiu,bq
比丘尼	biqiuni,bqn
比邱	biqiu,bq
比邱尼	biqiuni,bqn
比驱	biqu,bq
比权量力	biquanliangli,bqll
比然	biran,br
比热	bire,br
比日	biri,br
比容	birong,br
比如	biru,br
比如说	birushuo,brs
比如县	biruxian,brx
比萨	bisa,bs
比萨饼	bisabing,bsb
比萨斜塔	bisaxieta,bsxt
比萨扬人	bisayangren,bsyr
比赛	bisai,bs
比赛场	bisaichang,bsc
比赛项目	bisaixiangmu,bsxm
比色地	bisede,bsd
比色分析	bisefenxi,bsfx
比善	bishan,bs
比上不足	bishangbuzu,bsbz
比上不足比下有余	bishangbuzuxiayouyu,bsbzxyy
比尚	bishang,bs
比绍	bishao,bs
比舍	bishe,bs
比什凯克	bishikaike,bskk
比湿	bishi,bs
比时	bishi,bs
比氏鹟莺	bishiwengying,bswy
比世	bishi,bs
比事	bishi,bs
比势	bishi,bs
比试	bishi,bs
比室	bishi,bs
比是	bishi,bs
比手划脚	bishouhuajiao,bshj
比手画脚	bishouhuajiao,bshj
比疎	bishu,bs
比疏	bishu,bs
比属	bishu,bs
比数	bishu,bs
比顺	bishun,bs
比斯开湾	bisikaiwan,bskw
比似	bisi,bs
比俗	bisu,bs
比岁	bisui,bs
比岁不登	bisuibudeng,bsbd
比索	bisuo,bs
比特	bite,bt
比特币	bite,bt
比特纳	bitena,btn
比特犬	bitequan,btq
比体	biti,bt
比天高	bitiangao,btg
比推力	bituili,btl
比腕力	biwanli,bwl
比威力	biweili,bwl
比为	biwei,bw
比屋	biwu,bw
比屋而封	biwuerfeng,bwef
比屋可封	biwukefeng,bwkf
比屋连甍	biwulianmeng,bwlm
比伍	biwu,bw
比武	biwu,bw
比物	biwu,bw
比物丑类	biwuchoulei,bwcl
比物此志	biwucizhi,bwcz
比物假事	biwujiashi,bwjs
比物连类	biwulianlei,bwll
比物属事	biwuzhushi,bwzs
比下去	bixiaqu,bxq
比下有余	bixiayouyu,bxyy
比先	bixian,bx
比详	bixiang,bx
比象	bixiang,bx
比像	bixiang,bx
比校	bixiao,bx
比心	bixin,bx
比行	bixing,bx
比兴	bixing,bx
比选	bixuan,bx
比驯	bixun,bx
比亚	biya,by
比亚迪	biyadi,byd
比亚迪汽车	biyadiqiche,bydqc
比亚韦斯托克	biyaweisituoke,bywstk
比要	biyao,by
比一比	biyi,by
比义	biyi,by
比意	biyi,by
比翼	biyi,by
比翼连枝	biyilianzhi,bylz
比翼鸟	biyiniao,byn
比翼齐飞	biyiqifei,byqf
比翼双飞	biyishuangfei,bysf
比音	biyin,by
比余	biyu,by
比玉	biyu,by
比喻	biyu,by
比喻地	biyude,byd
比喻失当	biyushidang,bysd
比喻义	biyuyi,byy
比赞	bizan,bz
比长	bichang,bc
比照	bizhao,bz
比照地	bizhaode,bzd
比者	bizhe,bz
比值	bizhi,bz
比至	bizhi,bz
比栉	bizhi,bz
比众	bizhong,bz
比众不同	bizhongbutong,bzbt
比重	bizhong,bz
比周	bizhou,bz
比竹	bizhu,bz
比缀	bizhui,bz
比踪	bizong,bz
比作	bizuo,bz
比坐	bizuo,bz
比做	bizuo,bz
