弩兵	nubing,nb
弩车	nuche,nc
弩弓	nugong,ng
弩机	nuji,nj
弩箭	nujian,nj
弩括	nukuo,nk
弩力	nuli,nl
弩庐	nulu,nl
弩末	numo,nm
弩郍	nuna,nn
弩炮	nupao,np
弩师	nushi,ns
弩矢	nushi,ns
弩手	nushou,ns
弩台	nutai,nt
弩体	nuti,nt
弩团	nutuan,nt
弩下逃箭	nuxiataojian,nxtj
弩弦	nuxian,nx
弩行	nuxing,nx
弩牙	nuya,ny
弩影	nuying,ny
弩张剑拔	nuzhangjianba,nzjb
弩子	nuzi,nz
