蚂蜂	mafeng,mf
蚂蝗	mahuang,mh
蚂蟥	mahuang,mh
蚂蟥钉	mahuangding,mhd
蚂螂	malang,ml
蚂蚍	mapi,mp
蚂蚁	mayi,my
蚂蚁搬泰山	mayibantaishan,mybts
蚂蚁金服	mayijinfu,myjf
蚂蚁啃骨头	mayikengutou,mykgt
蚂蚁上树	mayishangshu,myss
蚂蚁矢	mayishi,mys
蚂蚁腰	mayiyao,myy
蚂蚁缘槐	mayiyuanhuai,myyh
蚂蚱	mazha,mz
蚂蚱车子	mazhachezi,mzcz
蚂蚱也是肉	mazhayeshirou,mzysr
