瞠瞠	cheng,c
瞠愕	chenge,ce
瞠后	chenghou,ch
瞠乎后已	chenghuhouyi,chhy
瞠乎后矣	chenghuhouyi,chhy
瞠乎其后	chenghuqihou,chqh
瞠呼其后	chenghuqihou,chqh
瞠惑	chenghuo,ch
瞠目	chengmu,cm
瞠目而视	chengmuershi,cmes
瞠目挢舌	chengmujiaoshe,cmjs
瞠目结舌	chengmujieshe,cmjs
瞠目以对	chengmuyidui,cmyd
瞠目咋舌	chengmuzashe,cmzs
瞠然	chengran,cr
瞠然自失	chengranzishi,crzs
瞠视	chengshi,cs
瞠眙	chengyi,cy
