啼唱	tichang,tc
啼号	tihao,th
啼痕	tihen,th
啼呼	tihu,th
啼謼	tihu,th
啼唤	tihuan,th
啼魂	tihun,th
啼饥	tiji,tj
啼饥号寒	tijihaohan,tjhh
啼叫	tijiao,tj
啼哭	tiku,tk
啼哭郎君	tikulangjun,tklj
啼明	timing,tm
啼明鸡	timingji,tmj
啼鸣	timing,tm
啼泣	tiqi,tq
啼声	tisheng,ts
啼啼哭哭	tiku,tk
啼天哭地	titiankudi,ttkd
啼笑皆非	tixiaojiefei,txjf
啼血	tixue,tx
啼眼	tiyan,ty
啼咽	tiyan,ty
啼珠	tizhu,tz
啼啭	tizhuan,tz
啼妆	tizhuang,tz
啼糚	tizhuang,tz
