吓呆	xiadai,xd
吓倒	xiadao,xd
吓得发抖	xiadefadou,xdfd
吓饭虎	xiafanhu,xfh
吓疯	xiafeng,xf
吓呼	xiahu,xh
吓唬	xiahu,xh
吓坏	xiahuai,xh
吓昏	xiahun,xh
吓魂台	xiahuntai,xht
吓噤	xiajin,xj
吓恐	xiakong,xk
吓蛮书	xiamanshu,xms
吓怒	xianu,xn
吓跑	xiapao,xp
吓骗	xiapian,xp
吓破胆	xiapodan,xpd
吓人	xiaren,xr
吓辱	xiaru,xr
吓杀	xiasha,xs
吓杀人香	xiasharenxiang,xsrx
吓煞	xiasha,xs
吓傻	xiasha,xs
吓射	xiashe,xs
吓吓叫	xiajiao,xj
吓协	xiaxie,xx
吓一大跳	xiayidatiao,xydt
吓一跳	xiayitiao,xyt
吓诈	xiazha,xz
