闵参	mincan,mc
闵茶	mincha,mc
闵察	mincha,mc
闵悼	mindao,md
闵嘿	minhei,mh
闵悔	minhui,mh
闵科夫斯基	minkefusiji,mkfsj
闵酷	minku,mk
闵劳	minlao,ml
闵怜	minlian,ml
闵乱思治	minluansizhi,mlsz
闵马	minma,mm
闵懑	minmen,mm
闵绵	minmian,mm
闵免	minmian,mm
闵勉	minmian,mm
闵闵	min,m
闵默	minmo,mm
闵念	minnian,mn
闵骞	minqian,mq
闵然	minran,mr
闵仁	minren,mr
闵伤	minshang,ms
闵天	mintian,mt
闵慰	minwei,mw
闵惜	minxi,mx
闵笑	minxiao,mx
闵行区	minhangqu,mhq
闵凶	minxiong,mx
闵忧	minyou,my
闵雨	minyu,my
闵子	minzi,mz
闵子里	minzili,mzl
