僵蚕	jiangcan,jc
僵持	jiangchi,jc
僵固性	jiangguxing,jgx
僵化	jianghua,jh
僵局	jiangju,jj
僵冷	jiangleng,jl
僵李代桃	jianglidaitao,jldt
僵尸	jiangshi,js
僵尸车	jiangshiche,jsc
僵尸粉	jiangshifen,jsf
僵尸网络	jiangshiwangluo,jswl
僵死	jiangsi,js
僵桃代李	jiangtaodaili,jtdl
僵卧	jiangwo,jw
僵硬	jiangying,jy
僵硬地	jiangyingde,jyd
僵直	jiangzhi,jz
僵住	jiangzhu,jz
僵住症	jiangzhuzheng,jzz
