李安	lian,la
李昂	liang,la
李翱	liao,la
李八百	libabai,lbb
李白	libai,lb
李白桃红	libaitaohong,lbth
李百药	libaiyao,lby
李宝嘉	libaojia,lbj
李冰	libing,lb
李冰冰	libing,lb
李伯元	liboyuan,lby
李卜克内西	libukeneixi,lbknx
李沧	licang,lc
李沧区	licangqu,lcq
李瀍	lichan,lc
李昌镐	lichanghao,lch
李朝威	lichaowei,lcw
李忱	lichen,lc
李成桂	lichenggui,lcg
李成江	lichengjiang,lcj
李承晚	lichengwan,lcw
李诚恩	lichengen,lce
李程	licheng,lc
李赤	lichi,lc
李闯	lichuang,lc
李纯	lichun,lc
李漼	licui,lc
李大钊	lidazhao,ldz
李代数	lidaishu,lds
李代桃僵	lidaitaojiang,ldtj
李代桃殭	lidaitaojiang,ldtj
李旦	lidan,ld
李德	lide,ld
李德林	lidelin,ldl
李登辉	lidenghui,ldh
李杜	lidu,ld
李杜韩柳	liduhanliu,ldhl
李尔王	lierwang,lew
李耳	lier,le
李法	lifa,lf
李昉	lifang,lf
李飞将	lifeijiang,lfj
李夫人	lifuren,lfr
李佛子	lifozi,lfz
李富春	lifuchun,lfc
李格非	ligefei,lgf
李公朴	ligongpu,lgp
李官	liguan,lg
李光耀	liguangyao,lgy
李广	liguang,lg
李广不侯	liguangbuhou,lgbh
李广难封	liguangnanfeng,lgnf
李广未封	liguangweifeng,lgwf
李鬼	ligui,lg
李郭	liguo,lg
李郭同船	liguotongchuan,lgtc
李郭同舟	liguotongzhou,lgtz
李郭仙	liguoxian,lgx
李郭仙舟	liguoxianzhou,lgxz
李郭舟	liguozhou,lgz
李国豪	liguohao,lgh
李何王李	lihewang,lhw
李贺	lihe,lh
李亨	liheng,lh
李恒	liheng,lh
李衡奴	lihengnu,lhn
李洪志	lihongzhi,lhz
李鸿章	lihongzhang,lhz
李鸿章杂碎	lihongzhangzasui,lhzzs
李后主	lihouzhu,lhz
李怀远	lihuaiyuan,lhy
李会	lihui,lh
李会昌	lihuichang,lhc
李季兰	lijilan,ljl
李家	lijia,lj
李家短	lijiaduan,ljd
李嘉诚	lijiacheng,ljc
李嘉欣	lijiaxin,ljx
李建成	lijiancheng,ljc
李将军列传	lijiangjunliezhuan,ljjlz
