骊阿	lia,la
骊唱	lichang,lc
骊畜	lichu,lc
骊坟	lifen,lf
骊峯	lifeng,lf
骊峰	lifeng,lf
骊歌	lige,lg
骊宫	ligong,lg
骊翰	lihan,lh
骊黑	lihei,lh
骊黄	lihuang,lh
骊黄牝牡	lihuangpinmu,lhpm
骊火	lihuo,lh
骊姬	liji,lj
骊姬之乱	lijizhiluan,ljzl
骊驾	lijia,lj
骊肩	lijian,lj
骊驹	liju,lj
骊连	lilian,ll
骊岭	liling,ll
骊龙	lilong,ll
骊龙珠	lilongzhu,llz
骊马	lima,lm
骊母	limu,lm
骊目	limu,lm
骊牛	liniu,ln
骊牝	lipin,lp
骊靬	lijian,lj
骊虬	liqiu,lq
骊戎	lirong,lr
骊色	lise,ls
骊山	lishan,ls
骊山北构	lishanbeigou,lsbg
骊山老母	lishanlaomu,lslm
骊山墓	lishanmu,lsm
骊体	liti,lt
骊岫	lixiu,lx
骊羊	liyang,ly
骊邑	liyi,ly
骊渊	liyuan,ly
骊珠	lizhu,lz
