斲败	zhuobai,zb
斲鼻	zhuobi,zb
斲冰	zhuobing,zb
斲窗	zhuochuang,zc
斲琱为朴	zhuodiaoweipiao,zdwp
斲雕	zhuodiao,zd
斲雕为朴	zhuodiaoweipiao,zdwp
斲断	zhuoduan,zd
斲垩手	zhuoeshou,zes
斲棺	zhuoguan,zg
斲户	zhuohu,zh
斲毁	zhuohui,zh
斲金	zhuojin,zj
斲掘	zhuojue,zj
斲砻	zhuolong,zl
斲礲	zhuolong,zl
斲轮	zhuolun,zl
斲轮手	zhuolunshou,zls
斲模	zhuomo,zm
斲木	zhuomu,zm
斲目	zhuomu,zm
斲泥	zhuoni,zn
斲泥手	zhuonishou,zns
斲琴	zhuoqin,zq
斲丧	zhuosang,zs
斲石	zhuoshi,zs
斲束	zhuoshu,zs
斲思	zhuosi,zs
斲削	zhuoxue,zx
斲挚	zhuozhi,zz
斲梓	zhuozi,zz
斲琢	zhuo,z
