掀背车	xianbeiche,xbc
掀播	xianbo,xb
掀簸	xianbo,xb
掀掉	xiandiao,xd
掀动	xiandong,xd
掀发	xianfa,xf
掀番	xianfan,xf
掀翻	xianfan,xf
掀风鼓浪	xianfenggulang,xfgl
掀轰	xianhong,xh
掀豗	xianhui,xh
掀搅	xianjiao,xj
掀揭	xianjie,xj
掀开	xiankai,xk
掀起	xianqi,xq
掀拳裸袖	xianquanluoxiu,xqlx
掀然	xianran,xr
掀髯	xianran,xr
掀射	xianshe,xs
掀腾	xianteng,xt
掀天	xiantian,xt
掀天动地	xiantiandongdi,xtdd
掀天揭地	xiantianjiedi,xtjd
掀天斡地	xiantianwodi,xtwd
掀舞	xianwu,xw
掀掀	xian,x
掀焰	xianyan,xy
掀扬	xianyang,xy
掀涌	xianyong,xy
掀擢	xianzhuo,xz
