遍布	bianbu,bb
遍处	bianchu,bc
遍达	bianda,bd
遍地	biandi,bd
遍地开花	biandikaihua,bdkh
遍迭	biandie,bd
遍叠	biandie,bd
遍缉	bianji,bj
遍及	bianji,bj
遍览	bianlan,bl
遍历	bianli,bl
遍满	bianman,bm
遍身	bianshen,bs
遍体	bianti,bt
遍体鳞伤	biantilinshang,btls
遍行	bianxing,bx
遍野	bianye,by
遍于	bianyu,by
遍宇	bianyu,by
遍照	bianzhao,bz
遍周	bianzhou,bz
