蹴波	cubo,cb
蹴步	cubu,cb
蹴躇	cuchu,cc
蹴触	cuchu,cc
蹴蹴然	curan,cr
蹴蹈	cudao,cd
蹴地	cudi,cd
蹴蹀	cudie,cd
蹴伏	cufu,cf
蹴工	cugong,cg
蹴击	cuji,cj
蹴踖	cuji,cj
蹴几	cuji,cj
蹴尖	cujian,cj
蹴践	cujian,cj
蹴踘	cuju,cj
蹴鞠	cuju,cj
蹴毱	cuju,cj
蹴履	culu,cl
蹴蹑	cunie,cn
蹴跑	cupao,cp
蹴瓶伎	cupingji,cpj
蹴破	cupo,cp
蹴跄	cuqiang,cq
蹴球	cuqiu,cq
蹴然	curan,cr
蹴缩	cusuo,cs
蹴蹹	cuta,ct
蹴踏	cuta,ct
蹴蹋	cuta,ct
蹴躢	cuta,ct
蹴讨	cutao,ct
蹴圆	cuyuan,cy
蹴迮	cuze,cz
蹴折	cushe,cs
