摈薄	binbao,bb
摈斥	binchi,bc
摈除	binchu,bc
摈黜	binchu,bc
摈兑	bindui,bd
摈厄	bine,be
摈放	binfang,bf
摈废	binfei,bf
摈嘿	binhei,bh
摈迹	binji,bj
摈绝	binjue,bj
摈僇	binlu,bl
摈落	binluo,bl
摈排	binpai,bp
摈畔	binpan,bp
摈弃	binqi,bq
摈却	binque,bq
摈士	binshi,bs
摈退	bintui,bt
摈相	binxiang,bx
摈压	binya,by
摈抑	binyi,by
摈赞	binzan,bz
摈诏	binzhao,bz
摈逐	binzhu,bz
