逝波	shibo,sb
逝川	shichuan,sc
逝殂	shicu,sc
逝将去汝	shijiangquru,sjqr
逝景	shijing,sj
逝流	shiliu,sl
逝路	shilu,sl
逝迈	shimai,sm
逝没	shimei,sm
逝灭	shimie,sm
逝年	shinian,sn
逝鸟	shiniao,sn
逝魄	shipo,sp
逝去	shiqu,sq
逝日	shiri,sr
逝圣	shisheng,ss
逝世	shi,s
逝逝	shi,s
逝水	shishui,ss
逝死	shisi,ss
逝湍	shituan,st
逝往	shiwang,sw
逝物	shiwu,sw
逝息	shixi,sx
逝言	shiyan,sy
逝运	shiyun,sy
逝者	shizhe,sz
逝者如斯	shizherusi,szrs
逝止	shizhi,sz
逝踵	shizhong,sz
